
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#45#88,nextinst=89
opcode=54(istore)	,popnum=1,store=32,lineinfo=trace.MultiTest#foo#45#89,nextinst=91
opcode=28(iload_2)	,pushnum=1,load=2,lineinfo=trace.MultiTest#foo#46#91,nextinst=92
opcode=27(iload_1)	,pushnum=1,load=1,lineinfo=trace.MultiTest#foo#46#92,nextinst=93
opcode=162(if_icmpge)	,popnum=2,branchbyte=214,lineinfo=trace.MultiTest#foo#46#93,nextinst=96
opcode=21(iload)	,pushnum=1,load=32,lineinfo=trace.MultiTest#foo#78#307,nextinst=309
opcode=172(ireturn)	,popnum=-1,lineinfo=trace.MultiTest#foo#78#309,nextinst=-1
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#pass#83#5,nextinst=6
opcode=184(invokestatic)	,calltype=(II)V,callclass=org.junit.jupiter.api.Assertions,callname=assertEquals,lineinfo=trace.MultiTest#pass#83#6,nextinst=9
opcode=177(return)	,popnum=-1,lineinfo=trace.MultiTest#pass#84#9,nextinst=-1
